start,end,type,night
1649383290.0,1649384540.0,wake,2022-04-08
1649384970.0,1649385890.0,wake,2022-04-08
1649386940.0,1649387130.0,wake,2022-04-08
1649389050.0,1649390600.0,wake,2022-04-08
1649391630.0,1649391740.0,wake,2022-04-08
1649392140.0,1649392740.0,wake,2022-04-08
1649406850.0,1649407800.0,wake,2022-04-08
1649409150.0,1649409670.0,wake,2022-04-08
1649423240.0,1649423540.0,wake,2022-04-08
1649425390.0,1649425580.0,wake,2022-04-08
1649426080.0,1649426090.0,wake,2022-04-08
1649426720.0,1649426790.0,wake,2022-04-08
1649429490.0,1649429540.0,wake,2022-04-08
1649383220.0,1649384510.0,motion,2022-04-08
1649384930.0,1649386090.0,motion,2022-04-08
1649386440.0,1649387110.0,motion,2022-04-08
1649387630.0,1649387820.0,motion,2022-04-08
1649388520.0,1649390570.0,motion,2022-04-08
1649391590.0,1649391700.0,motion,2022-04-08
1649392110.0,1649392690.0,motion,2022-04-08
1649393230.0,1649393260.0,motion,2022-04-08
1649393650.0,1649393670.0,motion,2022-04-08
1649395040.0,1649395150.0,motion,2022-04-08
1649403060.0,1649403080.0,motion,2022-04-08
1649403500.0,1649403520.0,motion,2022-04-08
1649406780.0,1649407940.0,motion,2022-04-08
1649408740.0,1649408760.0,motion,2022-04-08
1649409100.0,1649409640.0,motion,2022-04-08
1649410530.0,1649410930.0,motion,2022-04-08
1649411500.0,1649411520.0,motion,2022-04-08
1649412110.0,1649412150.0,motion,2022-04-08
1649412540.0,1649412550.0,motion,2022-04-08
1649417380.0,1649417400.0,motion,2022-04-08
1649420000.0,1649420010.0,motion,2022-04-08
1649420470.0,1649420490.0,motion,2022-04-08
1649421330.0,1649421350.0,motion,2022-04-08
1649421990.0,1649422020.0,motion,2022-04-08
1649423170.0,1649423510.0,motion,2022-04-08
1649425360.0,1649426100.0,motion,2022-04-08
1649426670.0,1649426760.0,motion,2022-04-08
1649427260.0,1649427540.0,motion,2022-04-08
1649428010.0,1649428030.0,motion,2022-04-08
1649428360.0,1649429050.0,motion,2022-04-08
1649429450.0,1649429520.0,motion,2022-04-08
1649469690.0,1649472320.0,wake,2022-04-09
1649474380.0,1649474430.0,wake,2022-04-09
1649478030.0,1649478400.0,wake,2022-04-09
1649478730.0,1649479060.0,wake,2022-04-09
1649479520.0,1649479610.0,wake,2022-04-09
1649493050.0,1649493830.0,wake,2022-04-09
1649495170.0,1649495840.0,wake,2022-04-09
1649513490.0,1649514050.0,wake,2022-04-09
1649469620.0,1649472300.0,motion,2022-04-09
1649473410.0,1649473420.0,motion,2022-04-09
1649474340.0,1649474400.0,motion,2022-04-09
1649474800.0,1649474820.0,motion,2022-04-09
1649476830.0,1649477350.0,motion,2022-04-09
1649477730.0,1649478370.0,motion,2022-04-09
1649478700.0,1649479080.0,motion,2022-04-09
1649479500.0,1649479570.0,motion,2022-04-09
1649480180.0,1649480200.0,motion,2022-04-09
1649489950.0,1649489970.0,motion,2022-04-09
1649491750.0,1649491770.0,motion,2022-04-09
1649492890.0,1649493810.0,motion,2022-04-09
1649494710.0,1649494720.0,motion,2022-04-09
1649495120.0,1649495820.0,motion,2022-04-09
1649496300.0,1649496320.0,motion,2022-04-09
1649497880.0,1649497900.0,motion,2022-04-09
1649499680.0,1649499700.0,motion,2022-04-09
1649507040.0,1649507060.0,motion,2022-04-09
1649509540.0,1649509560.0,motion,2022-04-09
1649511030.0,1649511310.0,motion,2022-04-09
1649512370.0,1649512380.0,motion,2022-04-09
1649512690.0,1649512750.0,motion,2022-04-09
1649513350.0,1649514330.0,motion,2022-04-09
1649515300.0,1649515320.0,motion,2022-04-09
1649558110.0,1649558380.0,wake,2022-04-10
1649559610.0,1649559770.0,wake,2022-04-10
1649562470.0,1649562580.0,wake,2022-04-10
1649562890.0,1649563010.0,wake,2022-04-10
1649564020.0,1649564480.0,wake,2022-04-10
1649568160.0,1649568230.0,wake,2022-04-10
1649579140.0,1649579960.0,wake,2022-04-10
1649580950.0,1649581510.0,wake,2022-04-10
1649584400.0,1649584520.0,wake,2022-04-10
1649556030.0,1649556070.0,motion,2022-04-10
1649557420.0,1649558690.0,motion,2022-04-10
1649559010.0,1649559030.0,motion,2022-04-10
1649559340.0,1649560100.0,motion,2022-04-10
1649560870.0,1649561150.0,motion,2022-04-10
