START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-04-13 08:09:39,2022-04-13 08:19:15,Located_Indoors, BP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters,2022-04-13 00:00:02,2022-04-13 00:09:38
2022-04-13 08:19:15,2022-04-13 08:19:34,Located_Indoors,annotator,Behavioral Parameters,2022-04-13 00:09:38,2022-04-13 00:09:57
2022-04-13 08:19:34,2022-04-13 08:20:07,Located_Indoors,annotator,Behavioral Parameters,2022-04-13 00:09:57,2022-04-13 00:10:30
2022-04-13 08:20:07,2022-04-13 08:20:25,Located_Indoors,annotator,Behavioral Parameters,2022-04-13 00:10:30,2022-04-13 00:10:48
2022-04-13 08:20:25,2022-04-13 08:20:32,Located_Indoors,annotator,Behavioral Parameters,2022-04-13 00:10:48,2022-04-13 00:10:55
2022-04-13 08:20:32,2022-04-13 08:20:40,Located_Indoors, Holding_Other_Object_Light,annotator,Behavioral Parameters,2022-04-13 00:10:55,2022-04-13 00:11:03
2022-04-13 08:20:40,2022-04-13 08:21:22,Located_Indoors, Holding_Other_Object_Light,annotator,Behavioral Parameters,2022-04-13 00:11:03,2022-04-13 00:11:45
2022-04-13 08:21:22,2022-04-13 08:21:55,Located_Indoors, Holding_Other_Object_Light,annotator,Behavioral Parameters,2022-04-13 00:11:45,2022-04-13 00:12:18
2022-04-13 08:21:55,2022-04-13 08:24:48,Located_Indoors, Holding_Other_Object_Light,annotator,Behavioral Parameters,2022-04-13 00:12:18,2022-04-13 00:15:11
2022-04-13 08:24:48,2022-04-13 08:25:51,Located_Indoors, Holding_Other_Object_Light,annotator,Behavioral Parameters,2022-04-13 00:15:11,2022-04-13 00:16:14
2022-04-13 08:25:51,2022-04-13 08:54:18,Located_Indoors, BP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters,2022-04-13 00:16:14,2022-04-13 00:44:41
2022-04-13 08:54:18,2022-04-13 08:56:05,Located_Indoors, Holding_Other_Object_Light,annotator,Behavioral Parameters,2022-04-13 00:44:41,2022-04-13 00:46:28
2022-04-13 08:56:05,2022-04-13 08:57:01,Located_Indoors, Holding_Other_Object_Light,annotator,Behavioral Parameters,2022-04-13 00:46:28,2022-04-13 00:47:24
2022-04-13 08:57:01,2022-04-13 08:59:08,Located_Indoors, Holding_Other_Object_Light,annotator,Behavioral Parameters,2022-04-13 00:47:24,2022-04-13 00:49:31
2022-04-13 08:59:08,2022-04-13 09:01:22,Located_Indoors, Holding_Other_Object_Light,annotator,Behavioral Parameters,2022-04-13 00:49:31,2022-04-13 00:51:45
2022-04-13 09:01:22,2022-04-13 09:03:39,Located_Indoors, Holding_Other_Object_Light,annotator,Behavioral Parameters,2022-04-13 00:51:45,2022-04-13 00:54:02
2022-04-13 09:03:39,2022-04-13 09:04:11,Located_Indoors, Holding_Other_Object_Light,annotator,Behavioral Parameters,2022-04-13 00:54:02,2022-04-13 00:54:34
2022-04-13 09:04:11,2022-04-13 09:05:44,Located_Indoors, Holding_Other_Object_Light, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-04-13 00:54:34,2022-04-13 00:56:07
2022-04-13 09:05:44,2022-04-13 09:08:53,Located_Indoors, Holding_Other_Object_Light,annotator,Behavioral Parameters,2022-04-13 00:56:07,2022-04-13 00:59:16
