START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-05-23 09:09:02,2022-05-23 09:09:31,In_Position_Upright,annotator,POSTURE,2022-05-23 00:00:03,2022-05-23 00:00:32
2022-05-23 09:09:55,2022-05-23 09:10:52,In_Position_Upright,annotator,POSTURE,2022-05-23 00:00:56,2022-05-23 00:01:53
2022-05-23 09:10:52,2022-05-23 09:11:27,In_Position_Upright,annotator,POSTURE,2022-05-23 00:01:53,2022-05-23 00:02:28
2022-05-23 09:11:40,2022-05-23 09:11:58,In_Position_Sitting,annotator,POSTURE,2022-05-23 00:02:41,2022-05-23 00:02:59
2022-05-23 09:11:58,2022-05-23 09:12:12,In_Position_Sitting,annotator,POSTURE,2022-05-23 00:02:59,2022-05-23 00:03:13
2022-05-23 09:12:23,2022-05-23 09:13:07,In_Position_Upright,annotator,POSTURE,2022-05-23 00:03:24,2022-05-23 00:04:08
2022-05-23 09:13:11,2022-05-23 09:14:30,In_Position_Sitting,annotator,POSTURE,2022-05-23 00:04:12,2022-05-23 00:05:31
2022-05-23 09:14:30,2022-05-23 09:15:14,In_Position_Sitting,annotator,POSTURE,2022-05-23 00:05:31,2022-05-23 00:06:15
2022-05-23 09:15:14,2022-05-23 09:17:29,In_Position_Sitting,annotator,POSTURE,2022-05-23 00:06:15,2022-05-23 00:08:30
2022-05-23 09:17:29,2022-05-23 09:20:00,In_Position_Sitting,annotator,POSTURE,2022-05-23 00:08:30,2022-05-23 00:11:01
2022-05-23 09:20:34,2022-05-23 09:21:39,In_Position_Sitting,annotator,POSTURE,2022-05-23 00:11:35,2022-05-23 00:12:40
2022-05-23 09:21:39,2022-05-23 09:22:15,In_Position_Sitting,annotator,POSTURE,2022-05-23 00:12:40,2022-05-23 00:13:16
2022-05-23 09:22:15,2022-05-23 09:24:17,In_Position_Sitting,annotator,POSTURE,2022-05-23 00:13:16,2022-05-23 00:15:18
2022-05-23 09:24:23,2022-05-23 09:31:15,In_Position_Sitting,annotator,POSTURE,2022-05-23 00:15:24,2022-05-23 00:22:16
2022-05-23 09:31:30,2022-05-23 09:33:51,In_Position_Sitting,annotator,POSTURE,2022-05-23 00:22:31,2022-05-23 00:24:52
2022-05-23 09:33:51,2022-05-23 09:37:46,In_Position_Sitting,annotator,POSTURE,2022-05-23 00:24:52,2022-05-23 00:28:47
2022-05-23 09:37:52,2022-05-23 09:39:18,In_Position_Sitting,annotator,POSTURE,2022-05-23 00:28:53,2022-05-23 00:30:19
2022-05-23 09:39:21,2022-05-23 09:40:02,In_Position_Upright,annotator,POSTURE,2022-05-23 00:30:22,2022-05-23 00:31:03
2022-05-23 09:40:09,2022-05-23 09:40:27,In_Position_Upright,annotator,POSTURE,2022-05-23 00:31:10,2022-05-23 00:31:28
2022-05-23 09:40:34,2022-05-23 09:41:35,In_Position_Upright,annotator,POSTURE,2022-05-23 00:31:35,2022-05-23 00:32:36
2022-05-23 09:41:35,2022-05-23 09:42:11,In_Position_Upright,annotator,POSTURE,2022-05-23 00:32:36,2022-05-23 00:33:12
2022-05-23 09:42:11,2022-05-23 09:42:34,In_Position_Upright,annotator,POSTURE,2022-05-23 00:33:12,2022-05-23 00:33:35
2022-05-23 09:42:35,2022-05-23 09:43:40,In_Position_Upright,annotator,POSTURE,2022-05-23 00:33:36,2022-05-23 00:34:41
2022-05-23 09:43:40,2022-05-23 09:43:52,In_Position_Upright,annotator,POSTURE,2022-05-23 00:34:41,2022-05-23 00:34:53
2022-05-23 09:44:01,2022-05-23 09:44:23,In_Position_Upright,annotator,POSTURE,2022-05-23 00:35:02,2022-05-23 00:35:24
2022-05-23 09:44:23,2022-05-23 09:44:49,In_Position_Upright,annotator,POSTURE,2022-05-23 00:35:24,2022-05-23 00:35:50
2022-05-23 09:44:49,2022-05-23 09:47:37,In_Position_Upright,annotator,POSTURE,2022-05-23 00:35:50,2022-05-23 00:38:38
2022-05-23 09:47:37,2022-05-23 09:47:57,In_Position_Upright,annotator,POSTURE,2022-05-23 00:38:38,2022-05-23 00:38:58
2022-05-23 09:47:57,2022-05-23 09:48:32,In_Position_Upright,annotator,POSTURE,2022-05-23 00:38:58,2022-05-23 00:39:33
2022-05-23 09:48:32,2022-05-23 09:48:57,In_Position_Upright,annotator,POSTURE,2022-05-23 00:39:33,2022-05-23 00:39:58
2022-05-23 09:49:02,2022-05-23 09:49:41,In_Position_Sitting,annotator,POSTURE,2022-05-23 00:40:03,2022-05-23 00:40:42
2022-05-23 09:49:41,2022-05-23 09:50:19,In_Position_Sitting,annotator,POSTURE,2022-05-23 00:40:42,2022-05-23 00:41:20
2022-05-23 09:50:19,2022-05-23 09:51:00,In_Position_Sitting,annotator,POSTURE,2022-05-23 00:41:20,2022-05-23 00:42:01
2022-05-23 09:51:00,2022-05-23 09:52:16,In_Position_Sitting,annotator,POSTURE,2022-05-23 00:42:01,2022-05-23 00:43:17
2022-05-23 09:52:16,2022-05-23 09:53:02,In_Position_Sitting,annotator,POSTURE,2022-05-23 00:43:17,2022-05-23 00:44:03
2022-05-23 09:53:02,2022-05-23 09:54:02,In_Position_Sitting,annotator,POSTURE,2022-05-23 00:44:03,2022-05-23 00:45:03
2022-05-23 09:54:02,2022-05-23 09:54:12,In_Position_Sitting,annotator,POSTURE,2022-05-23 00:45:03,2022-05-23 00:45:13
2022-05-23 09:54:12,2022-05-23 09:56:14,In_Position_Sitting,annotator,POSTURE,2022-05-23 00:45:13,2022-05-23 00:47:15
2022-05-23 09:56:14,2022-05-23 09:58:01,In_Position_Sitting,annotator,POSTURE,2022-05-23 00:47:15,2022-05-23 00:49:02
2022-05-23 09:58:01,2022-05-23 09:58:39,In_Position_Sitting,annotator,POSTURE,2022-05-23 00:49:02,2022-05-23 00:49:40
2022-05-23 09:58:44,2022-05-23 10:00:03,In_Position_Sitting,annotator,POSTURE,2022-05-23 00:49:45,2022-05-23 00:51:04
2022-05-23 10:00:03,2022-05-23 10:00:20,In_Position_Sitting,annotator,POSTURE,2022-05-23 00:51:04,2022-05-23 00:51:21
2022-05-23 10:00:23,2022-05-23 10:00:53,In_Position_Sitting,annotator,POSTURE,2022-05-23 00:51:24,2022-05-23 00:51:54
2022-05-23 10:00:53,2022-05-23 10:01:55,In_Position_Sitting,annotator,POSTURE,2022-05-23 00:51:54,2022-05-23 00:52:56
2022-05-23 10:01:55,2022-05-23 10:03:23,In_Position_Sitting,annotator,POSTURE,2022-05-23 00:52:56,2022-05-23 00:54:24
2022-05-23 10:03:23,2022-05-23 10:06:19,In_Position_Sitting,annotator,POSTURE,2022-05-23 00:54:24,2022-05-23 00:57:20
2022-05-23 10:06:19,2022-05-23 10:08:23,In_Position_Sitting,annotator,POSTURE,2022-05-23 00:57:20,2022-05-23 00:59:24
2022-05-23 10:08:23,2022-05-23 10:10:44,In_Position_Sitting,annotator,POSTURE,2022-05-23 00:59:24,2022-05-23 01:01:45
2022-05-23 10:10:44,2022-05-23 10:11:03,In_Position_Sitting,annotator,POSTURE,2022-05-23 01:01:45,2022-05-23 01:02:04
2022-05-23 10:11:03,2022-05-23 10:11:15,In_Position_Sitting,annotator,POSTURE,2022-05-23 01:02:04,2022-05-23 01:02:16
2022-05-23 10:11:15,2022-05-23 10:14:13,In_Position_Sitting,annotator,POSTURE,2022-05-23 01:02:16,2022-05-23 01:05:14
2022-05-23 10:14:13,2022-05-23 10:15:11,In_Position_Sitting,annotator,POSTURE,2022-05-23 01:05:14,2022-05-23 01:06:12
2022-05-23 10:15:11,2022-05-23 10:16:34,In_Position_Sitting,annotator,POSTURE,2022-05-23 01:06:12,2022-05-23 01:07:35
2022-05-23 10:16:34,2022-05-23 10:19:10,In_Position_Sitting,annotator,POSTURE,2022-05-23 01:07:35,2022-05-23 01:10:11
2022-05-23 10:19:10,2022-05-23 10:19:45,In_Position_Sitting,annotator,POSTURE,2022-05-23 01:10:11,2022-05-23 01:10:46
2022-05-23 10:19:45,2022-05-23 10:21:14,In_Position_Sitting,annotator,POSTURE,2022-05-23 01:10:46,2022-05-23 01:12:15
2022-05-23 10:21:14,2022-05-23 10:21:49,In_Position_Sitting,annotator,POSTURE,2022-05-23 01:12:15,2022-05-23 01:12:50
2022-05-23 10:21:49,2022-05-23 10:22:33,In_Position_Sitting,annotator,POSTURE,2022-05-23 01:12:50,2022-05-23 01:13:34
2022-05-23 10:22:33,2022-05-23 10:22:55,In_Position_Sitting,annotator,POSTURE,2022-05-23 01:13:34,2022-05-23 01:13:56
2022-05-23 10:22:55,2022-05-23 10:24:57,In_Position_Sitting,annotator,POSTURE,2022-05-23 01:13:56,2022-05-23 01:15:58
2022-05-23 10:24:57,2022-05-23 10:25:23,In_Position_Sitting,annotator,POSTURE,2022-05-23 01:15:58,2022-05-23 01:16:24
2022-05-23 10:25:23,2022-05-23 10:29:07,In_Position_Sitting,annotator,POSTURE,2022-05-23 01:16:24,2022-05-23 01:20:08
2022-05-23 10:29:07,2022-05-23 10:34:06,In_Position_Sitting,annotator,POSTURE,2022-05-23 01:20:08,2022-05-23 01:25:07
2022-05-23 10:34:06,2022-05-23 10:35:20,In_Position_Sitting,annotator,POSTURE,2022-05-23 01:25:07,2022-05-23 01:26:21
2022-05-23 10:35:20,2022-05-23 10:38:02,In_Position_Sitting,annotator,POSTURE,2022-05-23 01:26:21,2022-05-23 01:29:03
2022-05-23 10:38:02,2022-05-23 10:39:33,In_Position_Sitting,annotator,POSTURE,2022-05-23 01:29:03,2022-05-23 01:30:34
2022-05-23 10:39:33,2022-05-23 10:39:40,In_Position_Sitting,annotator,POSTURE,2022-05-23 01:30:34,2022-05-23 01:30:41
2022-05-23 10:39:40,2022-05-23 10:40:00,In_Position_Sitting,annotator,POSTURE,2022-05-23 01:30:41,2022-05-23 01:31:01
2022-05-23 10:40:00,2022-05-23 10:40:30,In_Position_Sitting,annotator,POSTURE,2022-05-23 01:31:01,2022-05-23 01:31:31
2022-05-23 10:40:30,2022-05-23 10:42:02,In_Position_Sitting,annotator,POSTURE,2022-05-23 01:31:31,2022-05-23 01:33:03
