START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-05-24 07:53:07,2022-05-24 07:53:20,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:00:01,2022-05-24 00:00:14
2022-05-24 07:53:20,2022-05-24 07:54:33,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:00:14,2022-05-24 00:01:27
2022-05-24 07:54:33,2022-05-24 07:56:28,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:01:27,2022-05-24 00:03:22
2022-05-24 07:56:28,2022-05-24 07:56:42,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:03:22,2022-05-24 00:03:36
2022-05-24 07:56:42,2022-05-24 07:57:14,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:03:36,2022-05-24 00:04:08
2022-05-24 07:57:19,2022-05-24 07:57:37,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:04:13,2022-05-24 00:04:31
2022-05-24 07:57:37,2022-05-24 07:57:38,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:04:31,2022-05-24 00:04:32
2022-05-24 07:57:39,2022-05-24 07:58:56,Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:04:33,2022-05-24 00:05:50
2022-05-24 07:58:56,2022-05-24 07:59:00,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:05:50,2022-05-24 00:05:54
2022-05-24 07:59:00,2022-05-24 07:59:24,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:05:54,2022-05-24 00:06:18
2022-05-24 07:59:24,2022-05-24 07:59:46,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:06:18,2022-05-24 00:06:40
2022-05-24 07:59:46,2022-05-24 08:00:02,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:06:40,2022-05-24 00:06:56
2022-05-24 08:00:02,2022-05-24 08:00:14,In_Transit_Active, Riding_Elevator_Down,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:06:56,2022-05-24 00:07:08
2022-05-24 08:00:14,2022-05-24 08:00:28,In_Transit_Active, Riding_Elevator_Down,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:07:08,2022-05-24 00:07:22
2022-05-24 08:00:28,2022-05-24 08:00:48,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:07:22,2022-05-24 00:07:42
2022-05-24 08:00:48,2022-05-24 08:02:02,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:07:42,2022-05-24 00:08:56
2022-05-24 08:02:02,2022-05-24 08:02:15,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:08:56,2022-05-24 00:09:09
2022-05-24 08:02:15,2022-05-24 08:02:29,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:09:09,2022-05-24 00:09:23
2022-05-24 08:02:29,2022-05-24 08:02:54,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:09:23,2022-05-24 00:09:48
2022-05-24 08:02:54,2022-05-24 08:03:52,Meeting_Formal_Gathering_In_Person, Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:09:48,2022-05-24 00:10:46
2022-05-24 08:03:52,2022-05-24 08:04:01,Meeting_Formal_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:10:46,2022-05-24 00:10:55
2022-05-24 08:04:01,2022-05-24 08:04:39,Meeting_Formal_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:10:55,2022-05-24 00:11:33
2022-05-24 08:04:39,2022-05-24 08:18:16,Meeting_Formal_Gathering_In_Person, Working_Other,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:11:33,2022-05-24 00:25:10
