START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-05-07 12:01:51,2022-05-07 12:04:54,Located_Indoors, In_Conversation, Typing_Computer,annotator,Behavioral Parameters,2022-05-07 00:00:00,2022-05-07 00:03:03
2022-05-07 12:05:13,2022-05-07 12:05:33,Located_Indoors, In_Conversation, Sync_Marker,annotator,Behavioral Parameters,2022-05-07 00:03:22,2022-05-07 00:03:42
2022-05-07 12:05:33,2022-05-07 12:06:42,Located_Indoors, In_Conversation, Typing_Computer,annotator,Behavioral Parameters,2022-05-07 00:03:42,2022-05-07 00:04:51
2022-05-07 12:06:42,2022-05-07 12:06:47,Located_Indoors,annotator,Behavioral Parameters,2022-05-07 00:04:51,2022-05-07 00:04:56
2022-05-07 12:06:47,2022-05-07 12:06:54,Located_Indoors,annotator,Behavioral Parameters,2022-05-07 00:04:56,2022-05-07 00:05:03
2022-05-07 12:06:54,2022-05-07 12:07:15,Located_Indoors,annotator,Behavioral Parameters,2022-05-07 00:05:03,2022-05-07 00:05:24
2022-05-07 12:07:15,2022-05-07 12:08:12,Located_Indoors,annotator,Behavioral Parameters,2022-05-07 00:05:24,2022-05-07 00:06:21
2022-05-07 12:08:12,2022-05-07 12:08:40,Located_Indoors,annotator,Behavioral Parameters,2022-05-07 00:06:21,2022-05-07 00:06:49
2022-05-07 12:08:40,2022-05-07 12:14:37,Located_Indoors,annotator,Behavioral Parameters,2022-05-07 00:06:49,2022-05-07 00:12:46
2022-05-07 12:14:37,2022-05-07 12:22:38,Located_Indoors, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-05-07 00:12:46,2022-05-07 00:20:47
2022-05-07 12:22:38,2022-05-07 12:22:38,Located_Indoors, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-05-07 00:20:47,2022-05-07 00:20:47
2022-05-07 12:22:39,2022-05-07 12:23:54,Located_Indoors, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-05-07 00:20:48,2022-05-07 00:22:03
2022-05-07 12:23:54,2022-05-07 12:27:52,Located_Indoors, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-05-07 00:22:03,2022-05-07 00:26:01
2022-05-07 12:23:56,2022-05-07 12:23:56,Located_Indoors, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-05-07 00:22:05,2022-05-07 00:22:05
2022-05-07 12:27:52,2022-05-07 12:28:07,Located_Indoors,annotator,Behavioral Parameters,2022-05-07 00:26:01,2022-05-07 00:26:16
2022-05-07 12:28:07,2022-05-07 12:36:45,Located_Indoors,annotator,Behavioral Parameters,2022-05-07 00:26:16,2022-05-07 00:34:54
2022-05-07 12:36:45,2022-05-07 12:36:53,Located_Indoors,annotator,Behavioral Parameters,2022-05-07 00:34:54,2022-05-07 00:35:02
2022-05-07 12:36:53,2022-05-07 12:39:19,Located_Indoors,annotator,Behavioral Parameters,2022-05-07 00:35:02,2022-05-07 00:37:28
2022-05-07 12:39:19,2022-05-07 12:40:34,,annotator,Behavioral Parameters,2022-05-07 00:37:28,2022-05-07 00:38:43
