START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-04-20 09:50:14,2022-04-20 09:54:42,Located_Indoors, Holding_Other_Object_Light,annotator,Behavioral Parameters,2022-04-20 00:00:00,2022-04-20 00:04:28
2022-04-20 09:54:42,2022-04-20 09:57:40,Located_Indoors, Holding_Other_Object_Light,annotator,Behavioral Parameters,2022-04-20 00:04:28,2022-04-20 00:07:26
2022-04-20 09:57:40,2022-04-20 09:59:21,Located_Indoors, Holding_Other_Object_Light,annotator,Behavioral Parameters,2022-04-20 00:07:26,2022-04-20 00:09:07
2022-04-20 09:59:21,2022-04-20 10:00:02,Located_Indoors, Holding_Other_Object_Light,annotator,Behavioral Parameters,2022-04-20 00:09:07,2022-04-20 00:09:48
2022-04-20 10:00:02,2022-04-20 10:00:33,Located_Indoors, Holding_Other_Object_Light,annotator,Behavioral Parameters,2022-04-20 00:09:48,2022-04-20 00:10:19
2022-04-20 10:00:33,2022-04-20 10:01:24,Located_Indoors, Holding_Other_Object_Light,annotator,Behavioral Parameters,2022-04-20 00:10:19,2022-04-20 00:11:10
2022-04-20 10:01:24,2022-04-20 10:02:05,Located_Indoors, Holding_Other_Object_Light,annotator,Behavioral Parameters,2022-04-20 00:11:10,2022-04-20 00:11:51
2022-04-20 10:02:05,2022-04-20 10:03:20,Located_Indoors, Holding_Other_Object_Light,annotator,Behavioral Parameters,2022-04-20 00:11:51,2022-04-20 00:13:06
2022-04-20 10:05:22,2022-04-20 10:11:19,Located_Indoors, Holding_Other_Object_Light,annotator,Behavioral Parameters,2022-04-20 00:15:08,2022-04-20 00:21:05
2022-04-20 10:11:19,2022-04-20 10:12:55,Located_Indoors, Holding_Other_Object_Light,annotator,Behavioral Parameters,2022-04-20 00:21:05,2022-04-20 00:22:41
2022-04-20 10:12:55,2022-04-20 10:16:28,Located_Indoors, Holding_Other_Object_Light,annotator,Behavioral Parameters,2022-04-20 00:22:41,2022-04-20 00:26:14
2022-04-20 10:16:28,2022-04-20 10:17:51,Located_Indoors, Holding_Other_Object_Light,annotator,Behavioral Parameters,2022-04-20 00:26:14,2022-04-20 00:27:37
2022-04-20 10:17:51,2022-04-20 10:18:37,Located_Indoors, Holding_Other_Object_Light, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-04-20 00:27:37,2022-04-20 00:28:23
