START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-05-24 07:53:06,2022-05-24 07:53:19,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:00:01,2022-05-24 00:00:14
2022-05-24 07:53:19,2022-05-24 07:54:32,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:00:14,2022-05-24 00:01:27
2022-05-24 07:54:32,2022-05-24 07:56:27,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:01:27,2022-05-24 00:03:22
2022-05-24 07:56:27,2022-05-24 07:56:41,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:03:22,2022-05-24 00:03:36
2022-05-24 07:56:41,2022-05-24 07:57:13,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:03:36,2022-05-24 00:04:08
2022-05-24 07:57:18,2022-05-24 07:57:36,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:04:13,2022-05-24 00:04:31
2022-05-24 07:57:36,2022-05-24 07:57:37,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:04:31,2022-05-24 00:04:32
2022-05-24 07:57:38,2022-05-24 07:58:55,Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:04:33,2022-05-24 00:05:50
2022-05-24 07:58:55,2022-05-24 07:58:59,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:05:50,2022-05-24 00:05:54
2022-05-24 07:58:59,2022-05-24 07:59:23,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:05:54,2022-05-24 00:06:18
2022-05-24 07:59:23,2022-05-24 07:59:45,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:06:18,2022-05-24 00:06:40
2022-05-24 07:59:45,2022-05-24 08:00:01,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:06:40,2022-05-24 00:06:56
2022-05-24 08:00:01,2022-05-24 08:00:13,In_Transit_Active, Riding_Elevator_Down,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:06:56,2022-05-24 00:07:08
2022-05-24 08:00:13,2022-05-24 08:00:27,In_Transit_Active, Riding_Elevator_Down,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:07:08,2022-05-24 00:07:22
2022-05-24 08:00:27,2022-05-24 08:00:47,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:07:22,2022-05-24 00:07:42
2022-05-24 08:00:47,2022-05-24 08:02:01,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:07:42,2022-05-24 00:08:56
2022-05-24 08:02:01,2022-05-24 08:02:14,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:08:56,2022-05-24 00:09:09
2022-05-24 08:02:14,2022-05-24 08:02:28,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:09:09,2022-05-24 00:09:23
2022-05-24 08:02:28,2022-05-24 08:02:53,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:09:23,2022-05-24 00:09:48
2022-05-24 08:02:53,2022-05-24 08:03:51,Meeting_Formal_Gathering_In_Person, Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:09:48,2022-05-24 00:10:46
2022-05-24 08:03:51,2022-05-24 08:04:00,Meeting_Formal_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:10:46,2022-05-24 00:10:55
2022-05-24 08:04:00,2022-05-24 08:04:38,Meeting_Formal_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:10:55,2022-05-24 00:11:33
2022-05-24 08:04:38,2022-05-24 08:18:15,Meeting_Formal_Gathering_In_Person, Working_Other,annotator,HIGH LEVEL BEHAVIOR,2022-05-24 00:11:33,2022-05-24 00:25:10
