START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-05-30 11:17:48,2022-05-30 11:18:09,In_Position_Upright,annotator,POSTURE,2022-05-30 00:00:02,2022-05-30 00:00:23
2022-05-30 11:18:09,2022-05-30 11:18:12,In_Position_Upright,annotator,POSTURE,2022-05-30 00:00:23,2022-05-30 00:00:26
2022-05-30 11:18:12,2022-05-30 11:18:41,In_Position_Upright,annotator,POSTURE,2022-05-30 00:00:26,2022-05-30 00:00:55
2022-05-30 11:18:41,2022-05-30 11:19:04,In_Position_Upright,annotator,POSTURE,2022-05-30 00:00:55,2022-05-30 00:01:18
2022-05-30 11:19:04,2022-05-30 11:19:30,In_Position_Upright,annotator,POSTURE,2022-05-30 00:01:18,2022-05-30 00:01:44
2022-05-30 11:19:30,2022-05-30 11:19:41,In_Position_Upright,annotator,POSTURE,2022-05-30 00:01:44,2022-05-30 00:01:55
2022-05-30 11:19:41,2022-05-30 11:19:51,In_Position_Upright,annotator,POSTURE,2022-05-30 00:01:55,2022-05-30 00:02:05
2022-05-30 11:19:51,2022-05-30 11:19:58,In_Position_Upright,annotator,POSTURE,2022-05-30 00:02:05,2022-05-30 00:02:12
2022-05-30 11:19:58,2022-05-30 11:20:05,In_Position_Upright,annotator,POSTURE,2022-05-30 00:02:12,2022-05-30 00:02:19
2022-05-30 11:20:05,2022-05-30 11:20:14,In_Position_Upright,annotator,POSTURE,2022-05-30 00:02:19,2022-05-30 00:02:28
2022-05-30 11:20:14,2022-05-30 11:21:57,In_Position_Upright,annotator,POSTURE,2022-05-30 00:02:28,2022-05-30 00:04:11
2022-05-30 11:21:58,2022-05-30 11:22:52,In_Position_Upright,annotator,POSTURE,2022-05-30 00:04:12,2022-05-30 00:05:06
2022-05-30 11:22:52,2022-05-30 11:23:06,Lying_On_Stomach,annotator,POSTURE,2022-05-30 00:05:06,2022-05-30 00:05:20
2022-05-30 11:23:06,2022-05-30 11:23:10,In_Position_Upright,annotator,POSTURE,2022-05-30 00:05:20,2022-05-30 00:05:24
2022-05-30 11:23:10,2022-05-30 11:24:00,In_Position_Upright,annotator,POSTURE,2022-05-30 00:05:24,2022-05-30 00:06:14
2022-05-30 11:24:00,2022-05-30 11:24:09,In_Position_Upright,annotator,POSTURE,2022-05-30 00:06:14,2022-05-30 00:06:23
2022-05-30 11:24:09,2022-05-30 11:24:14,In_Position_Upright,annotator,POSTURE,2022-05-30 00:06:23,2022-05-30 00:06:28
2022-05-30 11:24:14,2022-05-30 11:24:40,In_Position_Upright,annotator,POSTURE,2022-05-30 00:06:28,2022-05-30 00:06:54
2022-05-30 11:24:40,2022-05-30 11:25:07,In_Position_Upright,annotator,POSTURE,2022-05-30 00:06:54,2022-05-30 00:07:21
2022-05-30 11:25:07,2022-05-30 11:25:15,In_Position_Upright,annotator,POSTURE,2022-05-30 00:07:21,2022-05-30 00:07:29
2022-05-30 11:25:15,2022-05-30 11:26:23,In_Position_Upright,annotator,POSTURE,2022-05-30 00:07:29,2022-05-30 00:08:37
2022-05-30 11:26:23,2022-05-30 11:26:36,In_Position_Upright,annotator,POSTURE,2022-05-30 00:08:37,2022-05-30 00:08:50
2022-05-30 11:26:36,2022-05-30 11:26:46,In_Position_Upright,annotator,POSTURE,2022-05-30 00:08:50,2022-05-30 00:09:00
2022-05-30 11:26:46,2022-05-30 11:26:59,In_Position_Upright,annotator,POSTURE,2022-05-30 00:09:00,2022-05-30 00:09:13
2022-05-30 11:26:59,2022-05-30 11:27:01,In_Position_Upright,annotator,POSTURE,2022-05-30 00:09:13,2022-05-30 00:09:15
2022-05-30 11:27:01,2022-05-30 11:27:15,In_Position_Upright,annotator,POSTURE,2022-05-30 00:09:15,2022-05-30 00:09:29
2022-05-30 11:27:15,2022-05-30 11:28:26,In_Position_Upright,annotator,POSTURE,2022-05-30 00:09:29,2022-05-30 00:10:40
2022-05-30 11:28:26,2022-05-30 11:28:42,In_Position_Upright,annotator,POSTURE,2022-05-30 00:10:40,2022-05-30 00:10:56
2022-05-30 11:28:42,2022-05-30 11:28:59,In_Position_Upright,annotator,POSTURE,2022-05-30 00:10:56,2022-05-30 00:11:13
2022-05-30 11:28:59,2022-05-30 11:29:32,In_Position_Upright,annotator,POSTURE,2022-05-30 00:11:13,2022-05-30 00:11:46
2022-05-30 11:29:32,2022-05-30 11:29:49,In_Position_Sitting,annotator,POSTURE,2022-05-30 00:11:46,2022-05-30 00:12:03
2022-05-30 11:29:49,2022-05-30 11:29:59,In_Position_Upright,annotator,POSTURE,2022-05-30 00:12:03,2022-05-30 00:12:13
