start,end,type,night
1647311730.0,1647311960.0,wake,2022-03-15
1647314240.0,1647314280.0,wake,2022-03-15
1647319720.0,1647319820.0,wake,2022-03-15
1647310470.0,1647310490.0,motion,2022-03-15
1647311670.0,1647312060.0,motion,2022-03-15
1647312780.0,1647312800.0,motion,2022-03-15
1647313710.0,1647313740.0,motion,2022-03-15
1647314170.0,1647314530.0,motion,2022-03-15
1647314960.0,1647315120.0,motion,2022-03-15
1647317910.0,1647317930.0,motion,2022-03-15
1647318610.0,1647318620.0,motion,2022-03-15
1647319540.0,1647319820.0,motion,2022-03-15
1647223570.0,1647223590.0,wake,2022-03-14
1647224280.0,1647228340.0,wake,2022-03-14
1647229540.0,1647229670.0,wake,2022-03-14
1647230500.0,1647230870.0,wake,2022-03-14
1647231200.0,1647231270.0,wake,2022-03-14
1647231680.0,1647232190.0,wake,2022-03-14
1647232790.0,1647232810.0,wake,2022-03-14
1647235600.0,1647236190.0,wake,2022-03-14
1647259470.0,1647259550.0,wake,2022-03-14
1647263780.0,1647263880.0,wake,2022-03-14
1647223500.0,1647223590.0,motion,2022-03-14
1647224240.0,1647228300.0,motion,2022-03-14
1647229030.0,1647229040.0,motion,2022-03-14
1647229480.0,1647229820.0,motion,2022-03-14
1647230360.0,1647232970.0,motion,2022-03-14
1647233380.0,1647233400.0,motion,2022-03-14
1647234160.0,1647234170.0,motion,2022-03-14
1647235570.0,1647236140.0,motion,2022-03-14
1647257450.0,1647257470.0,motion,2022-03-14
1647259440.0,1647259510.0,motion,2022-03-14
1647263700.0,1647263850.0,motion,2022-03-14
1647268390.0,1647268420.0,motion,2022-03-14
1646881560.0,1646883260.0,wake,2022-03-10
1646883740.0,1646887100.0,wake,2022-03-10
1646887810.0,1646889400.0,wake,2022-03-10
1646924870.0,1646925450.0,wake,2022-03-10
1646927660.0,1646927820.0,wake,2022-03-10
1646881490.0,1646883210.0,motion,2022-03-10
1646883570.0,1646887180.0,motion,2022-03-10
1646887770.0,1646889750.0,motion,2022-03-10
1646895240.0,1646895250.0,motion,2022-03-10
1646897870.0,1646898090.0,motion,2022-03-10
1646905310.0,1646905320.0,motion,2022-03-10
1646905950.0,1646905970.0,motion,2022-03-10
1646920410.0,1646920430.0,motion,2022-03-10
1646921670.0,1646921690.0,motion,2022-03-10
1646924230.0,1646924260.0,motion,2022-03-10
1646924660.0,1646925410.0,motion,2022-03-10
1646927340.0,1646927970.0,motion,2022-03-10
1646967840.0,1646970000.0,wake,2022-03-11
1646970560.0,1646970630.0,wake,2022-03-11
1646971020.0,1646971370.0,wake,2022-03-11
1646974220.0,1646974550.0,wake,2022-03-11
1646975350.0,1646976670.0,wake,2022-03-11
1646977550.0,1646977760.0,wake,2022-03-11
1647007290.0,1647007560.0,wake,2022-03-11
1647011890.0,1647011950.0,wake,2022-03-11
1647013090.0,1647013680.0,wake,2022-03-11
1646967820.0,1646969980.0,motion,2022-03-11
1646970420.0,1646970590.0,motion,2022-03-11
1646971000.0,1646971350.0,motion,2022-03-11
1646972560.0,1646972580.0,motion,2022-03-11
1646974160.0,1646974530.0,motion,2022-03-11
1646974890.0,1646974900.0,motion,2022-03-11
1646975300.0,1646976780.0,motion,2022-03-11
1646977370.0,1646977750.0,motion,2022-03-11
1646982350.0,1646982360.0,motion,2022-03-11
1646984770.0,1646984800.0,motion,2022-03-11
1646994710.0,1646994730.0,motion,2022-03-11
1646996490.0,1646996540.0,motion,2022-03-11
1646997290.0,1646997300.0,motion,2022-03-11
1646999160.0,1646999180.0,motion,2022-03-11
1647005310.0,1647005320.0,motion,2022-03-11
1647005690.0,1647006010.0,motion,2022-03-11
1647007230.0,1647007530.0,motion,2022-03-11
1647011850.0,1647011920.0,motion,2022-03-11
1647013050.0,1647013650.0,motion,2022-03-11
1647141900.0,1647142650.0,wake,2022-03-13
1647142960.0,1647143110.0,wake,2022-03-13
1647143730.0,1647144230.0,wake,2022-03-13
1647145960.0,1647145980.0,wake,2022-03-13
1647146290.0,1647146360.0,wake,2022-03-13
1647149410.0,1647152690.0,wake,2022-03-13
1647155720.0,1647156530.0,wake,2022-03-13
1647157870.0,1647157890.0,wake,2022-03-13
1647141580.0,1647144190.0,motion,2022-03-13
1647145030.0,1647145070.0,motion,2022-03-13
1647145940.0,1647146320.0,motion,2022-03-13
1647147360.0,1647147390.0,motion,2022-03-13
1647148770.0,1647148790.0,motion,2022-03-13
1647149370.0,1647152670.0,motion,2022-03-13
1647154940.0,1647154960.0,motion,2022-03-13
1647155680.0,1647156730.0,motion,2022-03-13
1647157070.0,1647157290.0,motion,2022-03-13
1647157790.0,1647158460.0,motion,2022-03-13
1647170200.0,1647170220.0,motion,2022-03-13
1647171550.0,1647171570.0,motion,2022-03-13
1647174590.0,1647174610.0,motion,2022-03-13
1647176450.0,1647176490.0,motion,2022-03-13
1647182260.0,1647182280.0,motion,2022-03-13
